mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12665762901306152,0.033882286361409525,0.35412001609802246,0.1927763731664349,1,1,"{'n_neighbors': 1, 'p': 1}",-411.63863877118644,-397.9398834745763,-417.40002648305085,-419.770493974308,-417.29717918156535,-412.8092443769374,7.901190369079536,82,-0.2711050784612329,-0.3653247699132623,-0.3247699132622658,-0.3885192173999404,-0.3588903234349654,-0.3417218604943334,0.040782212999791984
0.10093588829040527,0.015322934639422319,0.23496570587158203,0.10014605505730403,1,2,"{'n_neighbors': 1, 'p': 2}",-460.0059586864407,-448.5382680084746,-466.10646186440675,-473.1973248576347,-470.0846245530393,-463.5865275939992,8.720244802917787,100,-0.2711050784612329,-0.3653247699132623,-0.3247699132622658,-0.3885192173999404,-0.3588903234349654,-0.3417218604943334,0.040782212999791984
0.08827376365661621,0.011762486270616613,0.26090230941772463,0.08557869316672026,2,1,"{'n_neighbors': 2, 'p': 1}",-369.74973516949154,-369.35275423728814,-383.91393008474574,-382.54595417825453,-382.45861475301285,-377.6041976845586,6.596634682071661,49,-207.3450970005959,-206.0243494669933,-206.9842249884129,-205.8542887410203,-203.4817095375244,-205.93793394690937,1.3507283453773413
0.08994231224060059,0.0148078429479483,0.17573509216308594,0.013318344709381182,2,2,"{'n_neighbors': 2, 'p': 2}",-412.5798463983051,-416.817531779661,-428.69577595338984,-434.86809694080256,-431.97867832075224,-424.9879858785822,8.728715005156872,99,-233.93079189564986,-232.2630437661392,-231.45838575117526,-232.47151322541131,-228.56266759360412,-231.7372804463959,1.7766804066184436
0.08737649917602539,0.018714420299551306,0.22298717498779297,0.021980480807498717,3,1,"{'n_neighbors': 3, 'p': 1}",-357.5922051553672,-360.82371115819205,-367.52259887005647,-364.99426124575115,-366.44969761179533,-363.4764948082324,3.719586906144819,41,-252.90809772892803,-251.99828952305285,-250.7196142046834,-250.84627183544652,-250.19751492479665,-251.33395764338147,0.9824470688876027
0.08050775527954102,0.004376738616162606,0.2820449352264404,0.08309552828467832,3,2,"{'n_neighbors': 3, 'p': 2}",-400.014521539548,-403.25715042372883,-411.32481461864404,-414.453361585662,-416.5653555820421,-409.123040749925,6.419064884638332,76,-286.6939901564811,-284.1065792668123,-282.0219272109294,-281.1515763454387,-280.83677072643206,-282.96216874121865,2.187042853109954
0.10232086181640625,0.02970200690818195,0.35566558837890627,0.14264205632897098,4,1,"{'n_neighbors': 4, 'p': 1}",-350.95481329449154,-347.64171742584745,-358.2115664724576,-356.039299430539,-362.3015163554496,-355.029782595757,5.200189737128448,26,-273.0771535456532,-272.33700258226844,-270.0526633781368,-271.06578773132054,-270.25787069222366,-271.3580955859205,1.1758835932276026
0.08077635765075683,0.0033320071150177996,0.2277989864349365,0.009868304709620945,4,2,"{'n_neighbors': 4, 'p': 2}",-395.17336467161016,-398.10891154661016,-403.228217690678,-406.0822076546153,-411.9029929810621,-402.8991389089151,5.898194187806254,67,-310.6823809839105,-307.47214957293255,-306.2351436800636,-305.52816400172145,-305.31163306518357,-307.04589426076234,1.968461979139456
0.08778467178344726,0.01261711684358057,0.2738481044769287,0.040490059519384725,5,1,"{'n_neighbors': 5, 'p': 1}",-345.31080508474577,-342.56398305084747,-354.0325211864407,-350.2578996159449,-359.4446828234671,-350.3219783522892,6.038117582351428,17,-285.26257697146264,-284.0698139442495,-282.0415480368139,-283.2770947131459,-282.60360181414904,-283.4509270959642,1.1313375592867845
0.07699403762817383,0.0009648840204036403,0.23955583572387695,0.01857853813353778,5,2,"{'n_neighbors': 5, 'p': 2}",-390.572404661017,-395.06027542372885,-401.52518538135587,-405.88806780558866,-405.00482055356906,-399.61015076505186,5.9087102203310256,59,-325.07660067536256,-321.10596570217837,-320.87572667681917,-320.63464759823876,-320.6425464296355,-321.66709741644684,1.7135639044136988
0.0789790153503418,0.0021386765361580914,0.280667781829834,0.020160643534468795,6,1,"{'n_neighbors': 6, 'p': 1}",-342.76615466101697,-342.79171080508473,-352.08006709039546,-349.6578378139761,-361.0624862049176,-349.6716513150782,6.790747268268676,14,-294.151233750469,-291.98655896179565,-290.67074422300203,-291.75945972787764,-290.38448041844606,-291.79049541631804,1.3299030430317484
0.08517422676086425,0.007610131279591965,0.2934206485748291,0.03875910967218745,6,2,"{'n_neighbors': 6, 'p': 2}",-390.6196371822034,-395.357123940678,-399.43551377118644,-403.87357082947074,-403.48457157992317,-398.55408346069237,5.031094637781411,57,-335.7782449402988,-331.74973515195654,-331.00994835463155,-330.54990565100803,-331.200610233831,-332.0576888663452,1.8996382379963663
0.07917428016662598,0.006315210068236897,0.29243106842041017,0.011238555295777178,7,1,"{'n_neighbors': 7, 'p': 1}",-339.8598289951574,-342.4379729116222,-349.5543280871671,-350.55591501598656,-357.2409898405131,-347.92980697008926,6.188997085419538,11,-301.2542115568335,-298.66461724728293,-296.559633374637,-298.73906237437865,-296.61159901441954,-298.3658247135103,1.7269045626428192
0.07837738990783691,0.002053598036492892,0.29249019622802735,0.02393409777409393,7,2,"{'n_neighbors': 7, 'p': 2}",-386.70344657990313,-395.7178420096852,-397.5156628329298,-402.9059727188452,-402.7702858656375,-397.12264200140015,5.933470435195312,50,-343.4486998798725,-339.5327938630925,-338.733558138875,-338.151790739138,-339.898296988872,-339.95302792197003,1.8509930587251044
